text,likes,views
"Друзья, подписывайтесь на наш телеграмм-канал, ведь сейчас там проходит серия розыгрышей канадских брелоков с бесплатной отправкой по России. Для участия в розыгрыше Вам достаточно подписаться на наш телеграмм-канал https://t.me/canada_club и нажать на «Принять участие»",13,1525
Дед Мороз и внучка Снегурочка...В Канаде совсем другая легенда. Мистер Клаус и Миссис Клаус (жена Санты) очень популярные персонажи в фильмах и мультиках.,57,6672
"Как подобрать себе подходящую профессию? Ответ в тесте

Ответь на 30 вопросов и узнай, к чему у тебя талант. Набор курсов для быстрого старта — в подарок:

https://vk.cc/ctBqHi

В Skypro разработали алгоритм поиска новой работы. Три шага — и ты четко понимаешь, как с выгодой сменить профессию.

Шаг 1. Проходишь тест и узнаешь, к чему у тебя склонности.

Шаг 2. Бесплатно получаешь два курса на выбор, чтобы прокачаться в нужной профессии.

Шаг 3. Проходишь консультацию от карьерного эксперта Skypro. Тоже бесплатно!

Все по-честному.

В результате у тебя сложится четкое понимание, как освоить современную профессию и стать спецом, за которым охотятся кадровики богатейших компаний.

Начать тест по ссылке:

https://vk.cc/ctBqHi",6,7781
В Канаде в Новогодние праздники всегда можно пойти в бар-хотели бы попробовать коктельчик?,62,5588
"Люди добрые, помогите! Моя жизнь сейчас зависит от кислородного аппарата.

Меня зовут Шарков Павел Николаевич, и я всегда стремился быть сильным и независимым человеком, готовым помогать другим. Но теперь я сам вынужден просить помощи, ведь другого выхода у меня нет.

Я столкнулся с тяжелой болезнью – ХОБЛ (хроническая обструктивная болезнь легких). Каждый день для меня стал борьбой за каждый вдох, за каждый шаг. Я нуждаюсь в вашей поддержке, чтобы оставаться в живых

Мои легкие уже не способны обеспечить организм кислородом, и я вынужден использовать кислородную терапию. Каждый день для меня становится все труднее и труднее, и сейчас моя жизнь находится под угрозой.

Мой портативный кислородный концентратор сломался, и я не могу себе позволить его починить или купить новый. Без этого устройства я уже несколько месяцев прикован к дивану.

Мои родные покинули меня, я остался на произвол судьбы. Пенсия по инвалидности всего 7300Р, но ее не хватает практически ни на что… Лекарства бесплатные выписывают, но часто их не бывает в аптеке, поэтому чаще я покупаю препараты за свои деньги.

Мне остро необходима финансовая помощь каждый месяц, чтобы оплачивать коммунальные платежи. К сожалению, сумма долга сейчас превышает 170 000 р. Моя жизнь зависит напрямую от электричества, ведь аппараты для дыхания работают от розетки. Если мне отключат свет, я могу просто задохнуться...

Мне стыдно просить, стыдно, что оказался совершенно беспомощным... Но без вашей помощи мне просто не выжить.

Я буду искренне благодарен за любую поддержку... Спасибо Вам!

Спасти Павлу жизнь — https://pomogi-cheloveku.ru/f2.html?utm_source=vk&utm_medium=posev&utm_campaign=test_creo&utm_content=green&utm_term=t7_c10",24,8744
Happy New Year! 🥳,281,9048
"В самом популярном торговом центре Eaton centre в Торонто💫🎄
С наступающим! 🥳",339,12958
"Новым годом даже не пахнет, им бы хотя бы хлеба и консервов. Помогите накормить стариков в зоне СВО.

Сегодня количество пожилых людей, которые по разным причинам остались жить на конфликтной территории превышает тысячи. 

Поскольку на эти территории доставка продуктов ограничена, бедные бабушки и дедушки часто не знают, что им покушать. У некоторых огород какой-никакой, кому-то родственники иногда привозят помощь. А есть старики совершенно неспособные по состоянию здоровья обеспечить себя пропитанием. Друзья, скажем честно: никто не заслуживает такого на старости лет.

Сейчас, в преддверии Нового Года, мы хотим доставить еду как можно большему количеству голодающих пенсионеров. Вывезти всех оттуда мы, к сожалению, не можем, а вот привезти продукты - да!

Специально для бедных малообеспеченных стариков мы собираем наборы горячего питания и отправляем в зону конфликта. 

Когда бабушки и дедушки получают такую помощь, их глаза наполняются слезами благодарности! Вот ради чего стоит помогать. Ведь в этот светлый праздник у них совершенно никого нет, кроме нас с вами.

Если вы хотите присоединиться к нам и помочь накормить стариков, то это можно сделать любым удобным способом на нашем сайте.

Помогите накормить стариков и наполнить их праздник теплом любви и надежды на завтрашний день.

Помочь старичкам: https://help-dnr.ru/?utm_source=vk&utm_medium=posev&utm_campaign=pj_test_creo&utm_content=green&utm_term=t29_c5",22,7432
"Как подобрать себе подходящую профессию? Пройди хитроумный тест!

Ответь на 30 вопросов и узнай, к чему у тебя талант. Набор курсов для быстрого старта — в подарок:

https://vk.cc/ctwI1k

В Skypro разработали алгоритм поиска новой работы. Три шага — и ты четко понимаешь, как с выгодой сменить профессию.

Шаг 1. Проходишь тест и узнаешь, к чему у тебя склонности.

Шаг 2. Бесплатно получаешь два курса на выбор, чтобы прокачаться в нужной профессии.

Шаг 3. Проходишь консультацию от карьерного эксперта Skypro. Тоже бесплатно!

Все по-честному.

В результате у тебя сложится четкое понимание, как освоить современную профессию и стать спецом, за которым охотятся кадровики богатейших компаний.

Начать тест по ссылке:

https://vk.cc/ctwI1k",5,6424
"Snow⛄️ 
У вас уже выпал снег?",153,7552
В самом центре Торонто каждую зиму открывается каток. Прокат коньков-15$ Хотели бы покататься?,81,6458
А вы уже катались на коньках?,118,6939
"Как подобрать себе подходящую профессию? Пройди хитроумный тест!

Ответь на 30 вопросов и узнай, к чему у тебя талант. Набор курсов для быстрого старта — в подарок:

https://vk.cc/ctkru4

В Skypro разработали алгоритм поиска новой работы. Три шага — и ты четко понимаешь, как с выгодой сменить профессию.

Шаг 1. Проходишь тест и узнаешь, к чему у тебя склонности.

Шаг 2. Бесплатно получаешь два курса на выбор, чтобы прокачаться в нужной профессии.

Шаг 3. Проходишь консультацию от карьерного эксперта Skypro. Тоже бесплатно!

Все по-честному.

В результате у тебя сложится четкое понимание, как освоить современную профессию и стать спецом, за которым охотятся кадровики богатейших компаний.

Начать проф.тест по ссылке:

https://vk.cc/ctkru4",4,5632
"Звонок в дверь, курьер, а там - долгожданная посылка

На видео разноуровневая интерьерная карта мира Safari. Только посмотрите, как идеально она вписалась в интерьер квартиры.
⠀
Узнать цену: vk.me/ga_den_ru?ref=mp_18&ref_source=mp",10,4359
"Помогите бездомным собачкам и котятам пережить эту холодную зиму! Нужно всего 30 рублей на корм и теплое место.

Зимой в Сургуте очень холодно, морозы достигают -62 градусов.

Тысячи бездомных животных пытаются выжить каждую зиму, и, к сожалению, многие не выдерживают это испытание.

От голода и холода, котики и собачки болеют, у них обмерзают лапки и хвосты. Бедные животные вынуждены каждую секунду сражаться со стихией, чтобы выжить.

Они не могут сами просить помощи, но в их печальных глазках можно прочесть: ""Помоги мне, пожалуйста, человек..."".

И мы можем помочь. Региональное общественное движение помощи бездомным животным ""Дай лапу"" забирает животных с улицы, лечит и кормит.

Сейчас проект строит небольшой приют, где можно было бы разместить бездомных кошек и собак.

Новый Год и Рождество для многих - время чудес и добрых поступков. Давайте вместе подарим бездомным котикам и собачкам приют?

Надо успеть собрать нужную сумму, чтобы животные могли встретить праздники в тепле и с мисочкой еды.

Пожалуйста, помогите волонтёрам, пожертвуйте любую посильную сумму в помощь строительству.

Даже 20 или 50 рублей помогут спасти ещё одно животное от верной гибели.

Помочь — https://daylapu-help.ru/?utm_source=vk&utm_medium=posev&utm_campaign=test_creo&utm_content=green&utm_term=t5_c7",20,4894
"Оставлять печенье Санте или Святому Николаю — это Рождественская традиция. Традиция печенья и молока зародилась как способ показать детям, что они должны быть благодарны за подарки, которые они получат на Рождество.",38,2873
"Все канадцы, особенно коренные народы, зависят от благополучия природной среды, которая поддерживает их культуру, здоровье и экономику.",73,6342
"Интерьерная карта мира из дерева — идеальное решение для пустующей стены.

Порадуйте своих близких волшебным подарком.

Узнать цену: vk.me/ga_den_ru?ref=mp_27&ref_source=mp",28,6686
Nature is the source of all true knowledge....,86,4874
"Срочно требуются IT-специалисты без опыта. Всему научим сами!

Где вы живете, какое у вас образование, есть ли у вас деньги — неважно. Подойдёт тем, кто сейчас работает в офисе или кто в декрете.

https://vk.cc/ct8Xpq

Но подойдут не все. Есть 3 пожелания:

1. Нужно понимать, что в IT не просто раздают деньги направо и налево. Да, там действительно платят хорошие деньги. Но это настоящая работа, так что ждём только ответственных.

2. Нужно быть морально готовым к таким деньгам. Многие получают первую зарплату и им «крышу сносит».

3. Увольняться и слепо верить рекламе не нужно! Начать можно с подработки, а не бросать всё. Мы за трезвый подход.

Чтобы безболезненно войти в IT и начать на этом зарабатывать, нужны только:

— компьютер / ноутбук, можно старый
— пара часов в день

Умение программировать необязательно, можно работать и зарабатывать без него.

На что можно рассчитывать? Всё просто — удалённая работа, стабильный доход без потолка, возможность расти в деньгах каждые пару месяцев. Можно работать на себя.

Не нужны особые знания, таланты или природный дар.

Честно скажем — справляется любой желающий. Необучаемы только те, кто вообще не хочет ничего делать.

Чтобы понять, какая профессия в IT вам подходит, запишитесь на бесплатный марафон по ссылке:

https://vk.cc/ct8Xpq",5,3711
"Сегодня хоккей с шайбой является любимым занятием большинства канадцев, за ним следуют гольф, керлинг, баскетбол и, конечно же, канадский футбол.",73,5042
"11 фишек качественного костюма для катания, на которых не стоит экономить

1. Ветронепропускаемость

В горах погода бывает разная – нужно быть готовым к порывам сильного ветра. Смотри, чтобы твой костюм имел плащевый слой, который будет надежной ветрозащитой (как у нашего софтшелла на фото).

2. Капюшон должен быть глубоким: чтобы в него полностью помещался шлем, при этом не тянуло горло, а лицо закрывалось до самой маски.

3. Сочный цвет 
Гора – это место, где ты заявляешь о себе всей тусовке! Смело сочетай базовые и яркие оттенки. Темные брюки – это функционально, а куртку – бери самую красочную.

4. Размер
Во всем мире у райдеров есть свой особый стиль – и прежде всего, это оверсайз посадка костюма. Что не только стильно, но и функционально, потому что внутри у тебя будет термобелье, слой утепления и возможно защита.

Кстати, у нашего софтшелла оверсайз фит.

5. Фит
Костюм не должен смотреться как пиджак. Должны быть стильные складки, чтобы ты выглядел как про райдер. И важно, чтобы он не висел, а именно красиво складывался – за счет плотного материала и подклада наш софтшелл сидит именно так.

6. Функциональность карманов
Подумай о том, что в костюм ты должен сложить с собой все самое нужно. И сделать это так, чтобы ничего не потерялось и не промокло. В нашем костюме тебе с этим помогут карманы на влагозащитных молниях.

7. Мембрана
При выборе мембраны смотри на два показателя: паропроницаемость (чтобы выводился пот, конденсат и ты не замерзал) и водостойкость (показатель защиты от внешнего воздействия). 

Если ты любитель или катаешься в спокойном стиле, то подойдет мембрана от 5000 до 10000 – в ней ты дольше не замерзнешь. Если профессиональный райдер с агрессивным стилем – то нужен костюм с показателями от 10000 до 20000.

Идеальное соотношение для начинающих и более опытных – софтшелл.

8. Вес
Тут все просто: чем меньше вес, тем комфортнее катание. Поэтому смотри на костюмы без утеплителя – они более легкие и функциональные (помни о теории трех слоев).

9. Износостойкость
Чем дешевле мембрана, тем она тоньше, и тем меньше в ней слоев. Поэтому после пары падений ты можешь обнаружить дырки, не говоря уже о фрирайде, где ветка точно разорвет твой костюм (софтшелл – так не рвется).

10. Функциональность катальной одежды
Важно, чтобы у твоей куртки и брюк обязательно были снегозащитные маженты, гетры от снега, утяжки и влагозащитные молнии. Так после катки у тебя не будет в одежде сугробов и воды. 

В софтшелле от CHUKCHA предусмотрено все: есть все манжеты, снегозащитные гетры, дополнительно юбка от снега, утяжки на анораке и влагозащитные молнии.

11. Универсальность температурного режима
Идеальный костюм для катания можно использовать от +5/+10 градусов до -25 градусов. Так, ты сможешь катать и поздней весной, и в холодные дни. 

В нашем костюме для этого предусмотрены вентиляционные отверстия у анорака и брюк, которые максимально расширяют температурный диапазон.

Нужна помощь с выбором костюма?

Переходи по ссылке, укажи свой рост и размер – и мы подберем для тебя удобный и стильный костюм с идеальной посадкой:

https://vk.com/app5898182_-16183908#s=2434882&force=1&utm_content=sani23&utm_campaign=market

Более 600 000 любителей активного образа жизни, путешествий, природы и экстремального спорта по всему миру выбирают CHUKCHA. Все наши костюмы прослужат тебе минимум 8 зим.

Присоединяйся к нашему племени!

Доставим твою обновку в любую точку России – без «сюрпризов» и брака.

Хочу костюм: https://vk.com/app5898182_-16183908#s=2434882&force=1&utm_content=sani23&utm_campaign=market",9,4828
It's Beginning to Look a Lot Like Christmas🎄,110,3551
Sledding или катание на санях-супер популярная развлечение в Канаде зимой. А ты знал это слово? Пиши в комменты👇👇👇,40,4403
"Звонок в дверь, курьер, а там - долгожданная посылка

На видео разноуровневая интерьерная карта мира Safari. Только посмотрите, как идеально она вписалась в интерьер квартиры.
⠀
Узнать цену: vk.me/ga_den_ru?ref=mp_18&ref_source=mp",19,7331
Замерзшие водопады Канады☃,126,4711
Канадцы имеют особую страсть к украшению домов на рождество🎄 🪅 А вы уже украсили свой дом?,79,5610
"КАНАДА ДАЛА САНТА-КЛАУСУ ЛЕГАЛЬНОЕ ГРАЖДАНСТВО
Канадские чиновники хотят напомнить всем, что Санта-Клаус на самом деле является гражданином Канады. Дом Санты на Северном полюсе находится на территории между Россией, Норвегией, Канадой, США и Данией. Однако пару лет назад Канада заявила (по ряду причин), что Св. Ник по закону считается канадским. Они даже выдали паспорта Санте и его партнерше миссис Клаус.",45,4320
"Срочно ищем желающих стать турагентом!
(можно без опыта, всему научим сами)

Образование, место жительства, трудовой стаж — не важны. Можно совмещать с основной работой или с декретным отпуском.

На что вы можете рассчитывать:
- полностью удаленная работа;
- достойное зп;
- стабильная подработка, если не хотите уходить с основной работы.

Что нужно делать?

- Продавать туры (всему научу).

Что вам потребуется для этого?

- Время: от 2-х свободных часов в день (утро, день или вечер — выбираете сами).
- Обычный компьютер с интернетом(лишь бы работал).
- Желание учиться, впитывать информацию.

Не нужны особые знания, таланты или природный дар.

С работой вполне справляются и мамы в декрете, и даже пенсионерки, не говоря уже о тех, кто любит много работать и добиваться своих целей.

За пол года вполне реально вырасти из новичка в профи и вырасти в зп.

Чтобы понять, подходит ли вам удаленная профессия «Турагент», регистрируйтесь на бесплатный вводный урок:
https://via-tourism.school/veb1203?utm_source=vk&utm_medium=mrpm454

Где вы узнаете:
- кому точно подходит эта профессия
- с чего начать работу и где искать клиентов, просто и пошагово с самого начала
- как турагенту путешествовать почти бесплатно
- только актуальную информацию — учимся работать так, как это делают сегодня и сейчас, а не три года назад.

Принимайте решение прямо сейчас, ведь этот пост может больше не появиться в ленте.

Что нужно сделать сейчас:

Регистрируйся на бесплатный эфир и получи полезные инструменты в подарок:
https://via-tourism.school/veb1203?utm_source=vk&utm_medium=mrpm454",20,6108
"Звонок в дверь, курьер, а там - долгожданная посылка

На видео разноуровневая интерьерная карта мира Safari. Только посмотрите, как идеально она вписалась в интерьер квартиры.
⠀
Узнать цену: vk.me/ga_den_ru?ref=mp_18&ref_source=mp",12,6141
"Alberta, Canada in the winter",140,6026
Печенье с шоколадной крошкой — любимое печенье Санты и самое популярное печенье в Канаде.,86,4334
"Average Canadian house price hits $816,720 — up 20% in past year. Средняя цена дома в Канаде достигла $816 720, что на 20% больше, чем в прошлом году.",26,4688
"«15 тысяч пенсия, на лекарства надо 8, на коммуналку еще 4... А на что питаться? Вот такая у меня беда...»
Рассказывает Нина Петровна, в прошлом инженер-снабженец дальневосточного пароходства.

""Я уже не знаю, как долго я смогу выживать без этого лекарства. Жизнь становится невыносимой.""
Плачет в трубку ветеран труда Владимир Васильевич.

""Когда у меня болит, я просто смиряюсь и жду, когда все это закончится."" Пилагея Пентелеевна делится с нами укладом своей жизни.

«У меня нет близких и родных, я осталась одна. Потеряла Единственную дочь. Мне стыдно просить милостыню, помогите пожалуйста». Галина Александровна.

И это лишь несколько историй одиноких бабушек и дедушек, за которыми мы присматриваем. Благотворительный фонд «Добрый слон» заботиться об одиноких пожилых людях Ленинградской области. Мы даем старичкам надежду на достойную старость, каждый месяц привозим продукты и лекарства прямо в руки каждому нуждающемуся пенсионеру. Сейчас мы находим все больше людей. Тысячи одиноких больных пенсионеров живут в нищите и мечтают, что когда нибудь кто-то заметит их, поддержит, поможет...

Мы очень хотим помочь им всем! Но без вашего участия мы не сможем каждый месяц покупать столько лекарств и продуктов.
 Пожалуйста, помогите закупить продуктовые наборы для 820 пенсионеров Ленинградской области.
Сделайте пожертвование на сайте благотворительного проекта или оформите подписку на ежемесячную помощь проекту и старикам.
Всегда помните! Даже 50 рублей это много — когда нас много! Добро вернется к Вам и вашим близким! 

Подарить старичкам достойную старость — https://pensioners-help.ru/?utm_source=vk&utm_medium=posev&utm_campaign=test_creo&utm_content=green&utm_term=t7_c16",9,5747
"Звонок в дверь, курьер, а там - долгожданная посылка

На видео разноуровневая интерьерная карта мира Safari. Только посмотрите, как идеально она вписалась в интерьер квартиры.
⠀
Узнать цену: vk.me/ga_den_ru?ref=mp_18&ref_source=mp",8,6488
"Смотрите, как по щелчку пальцев преобразилась кухня.

Интерьерная карта мира из дерева — идеальное решение для пустующей стены.

Узнать цену: vk.me/ga_den_ru?ref=mp_2&ref_source=mp",7,3498
"Звонок в дверь, курьер, а там - долгожданная посылка

На видео разноуровневая интерьерная карта мира Safari. Только посмотрите, как идеально она вписалась в интерьер квартиры.
⠀
Узнать цену: vk.me/ga_den_ru?ref=mp_18&ref_source=mp",14,8036
The population of Toronto is over 2.8 million...,54,3514
"Drake (rapper), Keanu Reeves (actor) are from Canada. 
Дрейк (рэпер), Киану Ривз (актер) родом из Канады. А вы знали об этом?",58,8459
"Канадские города уже много лет занимают верхние строчки мировых рейтингов по качеству жизни и безопасности. Кроме того, безработица в стране низкая.",94,4918
"Сделаем фотокубик из 12 фотографий твоей любимой. Ты нам даешь 12 её фото — мы создаем фотокубик.

Покажи своей женщине, что ты готов и можешь удивлять её не только 8 марта.

Заказать со скидкой 35% — vk.me/fotokubik?ref=mk-sh7",6,5591
"Canada has the longest coastline in the world. 
Канада имеет самую длинную береговую линию в мире.",67,4684
"Смотрите, как преобразился интерьер квартиры

«Она фантастическая, хочется разглядывать каждую деталь»
Именно так описала свои эмоции от карты наша покупательница и прислала видео. 

Интерьерная карта мира из дерева — идеальное решение для пустующей стены. 

Узнать цену: vk.me/ga_den_ru?ref=mp_12&ref_source=mp",16,6091
"Vancouver, Canada",333,9868
Милашка☺️,137,7690
"Нарисуем твою жену на холсте. Ты нам даешь ее фото, мы рисуем.

Покажи своей женщине, что ты готов и можешь удивлять ее не только на 8 Марта. Закажи романтичный и нежный портрет своей любимой, чтобы она увидела, какой красивой ты ее видишь

И самая, справедливая гарантия: обещаем вау-эффект или вернем деньги!

Переходи по ссылке, чтобы рассчитать стоимость портрета за 1 минуту: https://vk.me/podarok.monro?ref=anton_post512",6,7097
"Poutine
Poutine is a beautiful main dish, snack, or side dish from Canada. It's so popular in Canada that it even got its place in Mcdonald's. It's made of three components: fries, cheese and gravy. 
Пути'н — прекрасное основное блюдо, закуска или гарнир из Канады. В Канаде оно настолько популярно, что даже заняло свое место в Макдональдсе. Он состоит из трех компонентов: картофеля фри, сыра и соуса.",22,4329
"Смотрите, как преобразился интерьер квартиры

«Она фантастическая, хочется разглядывать каждую деталь»
Именно так описала свои эмоции от карты наша покупательница и прислала видео. 

Интерьерная карта мира из дерева — идеальное решение для пустующей стены. 

Узнать цену: vk.me/ga_den_ru?ref=mp_12&ref_source=mp",26,8248
81 процент всего населения Канады проживает в городах. А где бы вы хотели жить?,94,4809
"Смотрите, как преобразился интерьер квартиры

«Она фантастическая, хочется разглядывать каждую деталь»
Именно так описала свои эмоции от карты наша покупательница и прислала видео. 

Интерьерная карта мира из дерева — идеальное решение для пустующей стены. 

Узнать цену: vk.me/ga_den_ru?ref=mp_12&ref_source=mp",20,10343
WOW!,226,9390
University of Toronto-лучший университет Канады. Он также является одним из лучших научно-исследовательских университетов мира.,104,5066
"Нарисуем твою жену на холсте. Ты нам даешь ее фото, мы рисуем.

Покажи своей женщине, что ты готов и можешь удивлять ее не только на 8 Марта. Закажи романтичный и нежный портрет своей любимой, чтобы она увидела, какой красивой ты ее видишь

И самая, справедливая гарантия: обещаем вау-эффект или вернем деньги!

Переходи по ссылке, чтобы рассчитать стоимость портрета за 1 минуту: https://vk.me/podarok.monro?ref=anton_post512",12,8224
😊,109,4624
"Изготавливаем Доски Садху для людей, которые хотят научиться управлять своими эмоциями.

Узнать цены:

https://vk.me/prostogvozdi?ref=ML_1.2.6",7,6251
"Срочно ищем желающих стать турагентом!
(можно без опыта, всему научим сами)

Образование, место жительства, трудовой стаж — не важны. Можно совмещать с основной работой или с декретным отпуском.

На что вы можете рассчитывать:
- полностью удаленная работа;
- достойное зп;
- стабильная подработка, если не хотите уходить с основной работы.

Что нужно делать?

- Продавать туры (всему научу).

Что вам потребуется для этого?

- Время: от 2-х свободных часов в день (утро, день или вечер — выбираете сами).
- Обычный компьютер с интернетом(лишь бы работал).
- Желание учиться, впитывать информацию.

Не нужны особые знания, таланты или природный дар.

С работой вполне справляются и мамы в декрете, и даже пенсионерки, не говоря уже о тех, кто любит впахивать и добиваться своих целей.

За пол года вполне реально вырасти из новичка в профи и вырасти в зп.

Чтобы понять, подходит ли вам удаленная профессия «Турагент», регистрируйтесь на бесплатный вводный вебинар:
https://via-tourism.school/veb1203?utm_source=vk&utm_medium=mrpm369

Где вы узнаете:
- кому точно подходит эта профессия
- с чего начать работу и где искать клиентов, просто и пошагово с самого начала
- как турагенту путешествовать почти бесплатно
- только актуальную информацию — учимся работать так, как это делают сегодня и сейчас, а не три года назад.

Принимайте решение прямо сейчас, ведь этот пост может больше не появиться в ленте.

Что нужно сделать сейчас:

Регистрируйся на бесплатный эфир и получи полезные инструменты в подарок:
https://via-tourism.school/veb1203?utm_source=vk&utm_medium=mrpm369",25,8252
Happy Halloween!🎃,69,3983
"Eggnog-traditional Christmas drink in Canada. Eggnog is traditionally made with eggs, egg yolk, sugar, milk, heavy cream and vanilla extract. 
Эгг-ног — традиционный рождественский напиток в Канаде. Эгг-ног традиционно готовят из яиц, яичного желтка, сахара, молока, жирных сливок и ванильного экстракта. Этот напиток может быть алкогольный.",46,2827
"Canada's first/oldest national park - Banff National Park, Хотели бы побывать там?",103,7334
